,Has Device Type,Has Device OS,Has Device OS Version,Includes Catalan,Includes Catalan Predictive Keyboard,Has Vendor,Has Name
Aparell:Revolution - Geeksphone,Mòbil,Firefox OS,1.2.0 o superior,verdader,Sí,Geeksphone,Revolution
Aparell:Samsung Galaxy Ace - Samsung,Mòbil,Android,,fals,No,Samsung,Samsung Galaxy Ace
Aparell:Samsung Galaxy Ace 2 - Samsung,Mòbil,Android,2.3.6,fals,No,Samsung,Samsung Galaxy Ace 2
Aparell:Samsung Galaxy Ace 2—Samsung,Mòbil,Android,2.3.6,verdader,No,Samsung,Samsung Galaxy Ace 2
Aparell:Samsung Galaxy Alpha — Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy Alpha
Aparell:Samsung Galaxy Express - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy Express
Aparell:Samsung Galaxy Mini - Samsung,Mòbil,Android,,fals,No,Samsung,Samsung Galaxy Mini
Aparell:Samsung Galaxy Note - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy Note
Aparell:Samsung Galaxy Note 2 - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy Note 2
Aparell:Samsung Galaxy Note 3 - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy Note 3
Aparell:Samsung Galaxy Note 4 — Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy Note 4
Aparell:Samsung Galaxy S2 - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S2
Aparell:Samsung Galaxy S3 - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S3
Aparell:Samsung Galaxy S3 Neo - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S3 Neo
Aparell:Samsung Galaxy S3 mini - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S3 mini
Aparell:Samsung Galaxy S4 - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S4
Aparell:Samsung Galaxy S4 Active - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S4 Active
Aparell:Samsung Galaxy S4 Zoom - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S4 Zoom
Aparell:Samsung Galaxy S4 mini - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S4 mini
Aparell:Samsung Galaxy S5 4G+ — Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S5 4G+
Aparell:Samsung Galaxy S5 Neo — Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S5 Neo
Aparell:Samsung Galaxy S5 mini — Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S5 mini
Aparell:Samsung Galaxy S5 — Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S5
Aparell:Samsung Galaxy S6 edge — Samsung,Mòbil,Android,,verdader,Desconegut,Samsung,Samsung Galaxy S6 edge
Aparell:Samsung Galaxy S6 edge+ GLAM EDITION — Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S6 edge+ GLAM EDITION
Aparell:Samsung Galaxy S6 edge+ — Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S6 edge+
Aparell:Samsung Galaxy S6 — Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy S6
Aparell:Samsung Galaxy SII - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy SII
Aparell:Samsung Galaxy Tab Pro 10.1 - Samsung,Tauleta,Android,4.4,verdader,Sí,Samsung,Samsung Galaxy Tab Pro 10.1
Aparell:Samsung Galaxy Trend - Samsung,Mòbil,Android,,verdader,Sí,Samsung,Samsung Galaxy Trend
Aparell:Samsung Galaxy Y - Samsung,Mòbil,Android,,fals,No,Samsung,Samsung Galaxy Y
Aparell:Sony Xperia E — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia E
Aparell:Sony Xperia E1 — Sony,Mòbil,Android,4.3,verdader,Sí,Sony,Sony Xperia E1
Aparell:Sony Xperia E3 — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia E3
Aparell:Sony Xperia J — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia J
Aparell:Sony Xperia L — Sony,Mòbil,Android,4.2.2,verdader,Sí,Sony,Sony Xperia L
Aparell:Sony Xperia M2 — Sony,Mòbil,Android,4.3,verdader,Sí,Sony,Sony Xperia M2
Aparell:Sony Xperia P — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia P
Aparell:Sony Xperia S — Sony,Mòbil,Android,,verdader,Sí,Sony,Sony Xperia S
